,1,sn,id,name,date,net,all-net,%,%7,%30,%90,%180,%360,%720,%3y,%y,%all,%u,fee,2,%sort
45,,46,161607,融通巨潮10,08-28,1.22,2.734,1.24,4.18,4.1,13.38,14.23,21.15,26.42,69.92,19.26,303.14,15.6,0.15,,20.3556
19,,20,161121,易方达银行分,08-28,0.9697,1.018,0.17,5.01,1.95,12.39,12.25,19.65,50.98,0,18.82,2.71,13.83,0.1,,20.144
31,,32,501301,华宝兴业香港,08-25,1.1031,1.1031,1.72,4.69,4.58,6.82,0.0,0.0,0.0,0,0.0,10.3,6.21,0.1,,20.0944
46,,47,399001,中海上证50,08-28,1.171,1.171,1.04,4.18,3.72,12.49,17.1,21.85,27.14,82.4,20.6,17.1,16.24,0.12,,19.8932
48,,49,000536,前海开源可转,08-28,0.859,1.229,1.9,3.87,4.37,14.38,12.88,8.46,10.27,16.36,12.73,22.64,3.89,0.08,,19.4775
34,,35,001127,中银宏观策略,08-28,0.647,0.647,1.25,4.52,4.02,10.03,0.62,-3.58,-1.52,0,2.21,-35.3,-7.61,0.15,,19.3844
24,,25,168205,中融中证银行,08-25,0.936,0.98,2.97,4.93,1.63,11.83,11.16,16.0,45.15,0,17.0,-1.3,10.29,0.0,,19.2651
23,,24,161831,银华恒生国企,08-28,1.0209,1.098,0.12,4.97,2.49,6.59,5.95,17.72,22.71,-3.81,15.86,10.52,11.25,0.12,,19.175500000000003
25,,26,161029,富国中证银行,08-25,1.066,1.106,3.0,4.92,1.52,11.86,10.58,16.51,48.5,0,16.89,11.22,10.93,0.12,,19.1296
30,,31,160717,嘉实恒生中国,08-28,0.8324,0.8324,0.16,4.73,3.05,5.11,7.28,17.8,20.92,5.43,16.0,-16.76,10.67,0.15,,18.956400000000002
41,,42,519013,海富通风格优,08-28,0.777,1.883,1.83,4.3,3.6,10.37,5.43,7.32,10.37,-10.28,8.22,85.89,2.34,0.15,,18.8305
16,,17,160138,南方恒生中国,08-25,1.0655,1.0655,2.21,5.03,2.73,6.33,0.0,0.0,0.0,0,0.0,6.55,1.91,0.12,,18.775199999999998
42,,43,020021,国泰上证18,08-25,1.6992,1.6992,2.74,4.26,2.56,12.27,14.49,19.2,50.36,81.36,19.27,69.92,14.08,0.12,,18.7712
43,,44,160716,嘉实基本面5,08-25,1.4944,1.4944,2.13,4.26,2.19,12.47,16.64,30.61,58.57,127.04,23.16,49.44,25.3,0.12,,18.755499999999998
17,,18,160139,南方恒生中国,08-25,1.0642,1.0642,2.2,5.01,2.68,6.21,0.0,0.0,0.0,0,0.0,6.42,1.8,0.0,,18.6384
36,,37,110031,易方达恒生E,08-28,1.1607,1.1607,0.12,4.42,3.27,4.8,6.77,16.98,20.38,11.04,14.88,16.07,11.1,0.12,,18.2358
44,,45,002860,前海开源沪港,08-28,1.128,1.128,0.09,4.25,3.3,5.52,7.53,0.0,0.0,0,14.29,12.8,8.2,0.15,,17.3844
40,,41,501025,鹏华香港银行,08-28,1.1483,1.1483,-0.14,4.32,2.12,6.92,8.38,0.0,0.0,0,16.93,14.83,10.07,0.12,,16.428
47,,48,163803,中银持续增长,08-28,0.4132,3.5211,0.85,3.95,2.97,9.31,0.32,-5.55,-1.62,51.57,1.0,327.84,-9.06,0.15,,16.3152
27,,28,004597,南方银行ET,08-25,1.0107,1.0107,2.91,4.8,0.97,0.0,0.0,0.0,0.0,0,0.0,1.07,-3.69,0.12,,14.988
28,,29,004598,南方银行ET,08-25,1.01,1.01,2.91,4.79,0.93,0.0,0.0,0.0,0.0,0,0.0,1.0,-3.75,0.0,,14.9112
