,1,sn,id,name,date,net,all-net,%,%7,%30,%90,%180,%360,%720,%3y,%y,%all,%u,fee,2,%sort
26,,27,460005,华泰柏瑞价值,08-30,2.5199,3.3729,2.54,5.49,5.82,11.18,3.66,1.52,34.59,142.84,4.28,319.47,-0.65,0.15,,25.1067
9,,10,210009,金鹰核心资源,08-30,0.996,1.096,0.5,6.41,7.1,-1.68,-21.02,-38.75,-22.43,-6.74,-26.33,9.03,-42.26,0.15,,24.8719
29,,30,519025,海富通领先成,08-30,1.343,1.493,1.74,5.42,4.92,14.98,11.54,9.9,23.32,36.21,14.01,52.73,5.02,0.15,,24.803199999999997
24,,25,161720,招商中证全指,08-30,0.777,0.759,0.39,5.57,5.57,11.16,2.64,-1.59,9.2,0,3.46,-29.89,-7.08,0.1,,24.677000000000003
33,,34,660010,农银策略精选,08-30,1.0068,1.0068,1.16,5.36,4.68,12.91,17.49,19.91,30.67,14.24,18.91,0.68,15.97,0.15,,24.522900000000003
42,,43,002196,金鹰技术领先,08-30,1.151,1.151,2.58,5.21,6.48,10.14,-2.79,-1.46,0,0,0.44,15.1,-2.74,0.0,,24.2624
31,,32,163113,申万菱信申万,08-30,1.124,1.8498,0.17,5.4,5.41,11.42,3.19,-0.72,6.91,43.3,4.27,57.51,-6.16,0.12,,24.053500000000003
34,,35,000127,农银行业领先,08-30,2.0546,2.0546,1.16,5.31,4.22,10.86,12.55,12.27,49.65,96.78,12.11,105.46,8.92,0.15,,23.338299999999993
40,,41,002189,农银汇理国企,08-30,1.2174,1.2174,1.13,5.22,4.27,11.84,15.88,19.95,0,0,17.59,21.74,16.13,0.15,,23.086200000000005
36,,37,501016,国泰中证申万,08-30,1.1239,1.1239,0.19,5.27,4.79,9.86,0.0,0,0,0,0.0,12.39,5.8,0.12,,22.503199999999996
35,,36,001005,中海合鑫混合,08-30,0.678,0.678,1.95,5.28,3.04,6.77,13.19,-0.44,-7.5,0,12.44,-32.2,-4.52,0.15,,20.3814
