,1,sn,id,name,date,net,all-net,%,%7,%30,%90,%180,%360,%720,%3y,%y,%all,%u,fee,2,%sort
0,,1,003750,创金合信鑫收,08-30,1.203,1.203,-0.25,18.17,18.06,21.76,19.94,0,0,0,20.3,20.3,1.6,0.0,,78.28080000000001
3,,4,003624,创金合信资源,08-30,1.3114,1.3114,2.69,6.98,11.84,35.52,27.46,0,0,0,35.76,31.14,25.47,0.15,,41.092
4,,5,003625,创金合信资源,08-30,1.3037,1.3037,2.69,6.95,11.68,35.06,26.91,0,0,0,35.03,30.37,24.76,0.0,,40.717999999999996
6,,7,502023,鹏华钢铁分级,08-30,1.129,1.155,3.67,6.71,12.67,25.03,12.45,27.68,13.7,0,25.03,16.31,25.07,0.12,,39.7222
8,,9,168203,中融国证钢铁,08-30,1.001,0.614,3.62,6.6,12.09,25.44,11.22,26.75,2.67,0,23.28,-38.21,24.04,0.0,,38.5969
1,,2,161724,招商中证煤炭,08-30,1.334,0.91,2.69,7.84,7.58,32.6,15.6,22.15,43.44,0,21.49,-8.5,17.53,0.1,,38.39260000000001
38,,39,001740,光大中国制造,08-30,1.441,1.441,2.56,5.26,11.79,34.17,38.82,40.59,0,0,37.63,44.1,36.47,0.15,,37.1286
2,,3,519033,海富通国策导,08-30,1.44,2.007,2.13,7.06,8.84,28.69,23.71,16.41,18.14,49.8,25.33,110.17,10.1,0.15,,36.989200000000004
30,,31,160221,国泰国证有色,08-30,1.2933,0.8835,2.06,5.4,9.98,35.0,14.3,17.87,40.69,0,23.62,-11.0,12.59,0.0,,34.4643
5,,6,519026,海富通中小盘,08-30,1.003,1.003,2.03,6.93,8.67,20.55,14.76,11.44,-3.56,-3.28,17.72,0.3,5.13,0.15,,34.434
10,,11,377530,上投摩根行业,08-30,2.229,2.229,2.48,6.35,8.05,26.22,31.82,23.63,26.94,70.54,32.92,122.9,15.61,0.15,,34.158
23,,24,000755,富安达新兴成,08-30,1.4125,1.4125,2.38,5.64,8.6,36.2,32.68,12.01,9.83,0,36.05,41.25,2.96,0.15,,34.000899999999994
7,,8,168204,中融中证煤炭,08-30,0.901,0.943,2.15,6.63,6.25,28.35,15.66,18.92,26.31,0,22.25,-4.76,15.06,0.0,,32.3983
41,,42,165520,信诚中证80,08-30,1.332,1.381,1.76,5.21,7.42,35.92,23.11,32.83,53.79,39.74,35.37,31.69,26.13,0.12,,31.774900000000002
25,,26,161032,富国中证煤炭,08-30,1.333,0.816,1.91,5.54,7.59,27.68,15.31,18.54,30.28,0,21.18,-18.39,15.02,0.0,,30.778
37,,38,240022,华宝资源优选,08-30,1.478,1.587,2.21,5.27,7.36,29.13,20.44,29.55,58.11,99.52,27.78,59.22,25.13,0.15,,30.660100000000003
47,,48,470028,汇添富社会责,08-30,1.793,1.793,1.64,5.16,9.2,23.06,15.53,2.52,20.25,69.47,16.2,79.3,-3.09,0.15,,30.464499999999997
43,,44,001072,华安智能装备,08-30,1.031,1.031,1.28,5.2,9.45,16.1,7.96,4.88,42.21,0,10.86,3.1,1.64,0.15,,29.730100000000007
27,,28,160215,国泰价值经典,08-30,1.578,2.106,1.74,5.48,6.77,23.26,19.73,25.66,70.13,138.58,26.65,124.74,19.6,0.15,,29.631700000000006
28,,29,020001,国泰金鹰增长,08-30,1.2579,4.9409,1.7,5.43,6.76,23.47,20.27,25.92,61.16,104.77,27.06,1192.5,20.03,0.15,,29.446399999999997
45,,46,690008,民生中证资源,08-30,0.873,0.873,1.63,5.18,6.59,30.3,20.41,26.89,35.14,42.65,27.63,-12.7,20.98,0.12,,29.38
32,,33,379010,上投摩根中小,08-30,2.22,2.26,1.69,5.36,6.17,24.3,24.02,15.32,27.0,68.56,24.51,128.61,8.32,0.15,,28.266
11,,12,590005,中邮核心主题,08-30,1.861,2.021,3.1,6.16,6.89,9.15,8.01,6.16,16.39,66.01,9.73,115.0,4.61,0.15,,28.0803
14,,15,002939,广发创新升级,08-30,1.2249,1.2249,3.01,5.99,5.69,15.27,14.51,22.49,0,0,23.64,22.49,18.96,0.15,,27.5526
44,,45,001552,天弘中证证券,08-30,0.8749,0.8749,-0.21,5.18,7.13,17.22,17.0,14.61,29.65,0,17.77,-12.51,7.36,0.1,,27.4983
39,,40,001313,上投摩根智慧,08-30,0.802,0.802,1.65,5.25,6.08,23.38,22.07,12.17,17.94,0,22.44,-19.8,5.13,0.15,,27.462400000000006
46,,47,001553,天弘中证证券,08-30,0.87,0.87,-0.21,5.17,7.1,17.14,16.84,14.32,29.04,0,17.57,-13.0,7.08,0.0,,27.402399999999997
16,,17,502010,易方达证券公,08-30,1.2218,0.8523,0.25,5.88,6.3,12.84,5.93,4.75,11.65,0,7.91,-21.73,-1.34,0.1,,26.9975
17,,18,160633,鹏华证券分级,08-30,1.009,0.642,0.3,5.88,5.99,12.61,4.56,1.61,-4.34,0,5.65,-35.91,-4.36,0.12,,26.311199999999996
49,,50,410007,华富价值增长,08-30,1.0801,1.8801,1.76,5.14,8.07,8.6,2.78,-2.14,35.73,82.45,3.99,87.09,-3.83,0.15,,26.288899999999995
13,,14,519013,海富通风格优,08-30,0.789,1.895,1.15,6.05,5.2,12.07,7.06,8.53,12.07,-9.83,9.89,88.76,2.34,0.15,,26.168899999999994
15,,16,161629,融通证券分级,08-30,1.129,0.766,0.36,5.91,5.81,11.67,3.01,-1.27,-1.8,0,3.86,-23.6,-6.99,0.12,,25.936999999999994
48,,49,163503,天治核心成长,08-30,0.4994,2.3903,1.92,5.16,6.5,19.53,4.43,1.61,-14.56,30.92,7.49,200.26,-2.39,0.15,,25.849399999999996
12,,13,000273,华润元大安鑫,08-30,2.056,2.056,2.34,6.09,3.94,16.49,11.5,15.7,14.73,100.78,14.48,105.6,10.13,0.12,,25.826900000000006
20,,21,161027,富国中证全指,08-30,1.072,0.634,0.37,5.72,5.93,11.9,3.78,-0.27,12.2,0,4.69,-36.66,-6.06,0.12,,25.7614
18,,19,502053,长盛中证证券,08-30,1.039,1.039,0.39,5.8,5.8,11.36,2.97,-1.54,6.8,0,3.9,7.23,-7.34,0.12,,25.637600000000003
19,,20,160419,华安中证全指,08-30,1.118,0.6977,0.26,5.74,5.81,11.51,3.52,-0.6,9.35,0,4.44,-30.23,-6.33,0.12,,25.567099999999996
21,,22,004069,南方中证全指,08-30,1.0785,1.0785,0.12,5.66,5.83,12.05,0.0,0,0,0,0.0,7.85,1.36,0.12,,25.224800000000005
22,,23,004070,南方中证全指,08-30,1.0761,1.0761,0.12,5.66,5.79,11.94,0.0,0,0,0,0.0,7.61,1.14,0.0,,25.159200000000002
