,1,sn,id,name,date,net,all-net,%,%7,%30,%90,%180,%360,%720,%3y,%y,%all,%u,fee,2,%sort
0,,1,167301,方正富邦保险,08-25,1.261,1.3,3.02,5.26,4.91,15.9,26.86,35.23,72.23,0,30.94,30.2,26.79,0.08,,26.086100000000002
15,,16,001287,安信优势增长,08-25,1.3073,1.3073,1.79,4.03,6.8,17.26,14.9,20.6,28.17,0,20.6,30.73,18.34,0.1,,23.817699999999995
27,,28,001542,国泰互联网+,08-25,1.779,1.779,1.95,3.55,5.08,22.69,33.06,41.08,84.54,0,41.3,77.9,34.85,0.15,,22.939799999999995
16,,17,040008,华安策略优选,08-25,1.4719,3.0082,1.55,3.9,4.12,17.46,29.18,30.48,68.12,129.91,38.69,47.19,27.07,0.15,,21.427599999999998
42,,43,000742,国泰新经济灵,08-25,2.189,2.474,1.96,3.3,4.49,20.74,29.3,36.27,95.16,0,35.21,157.41,31.14,0.15,,21.059399999999997
1,,2,161723,招商中证银行,08-25,1.041,1.079,3.07,5.15,2.06,12.66,12.66,19.65,52.53,0,19.24,8.6,13.68,0.1,,20.754300000000004
26,,27,519033,海富通国策导,08-25,1.369,1.936,2.24,3.63,4.5,21.69,17.92,11.21,18.02,41.1,19.15,99.8,10.1,0.15,,20.446
3,,4,160517,博时中证银行,08-25,1.0296,1.0759,2.99,5.01,2.01,12.64,13.91,20.11,51.43,0,20.87,7.59,14.16,0.1,,20.336100000000002
5,,6,001594,天弘中证银行,08-25,1.1232,1.1232,3.0,5.0,1.77,13.03,12.67,16.67,46.67,0,18.08,12.32,10.89,0.1,,19.9157
4,,5,001595,天弘中证银行,08-25,1.1166,1.1166,3.0,5.0,1.75,12.97,12.54,16.39,45.87,0,17.9,11.66,10.61,0.0,,19.8633
6,,7,160418,华安中证银行,08-25,0.9084,0.9523,3.0,4.98,1.79,12.04,11.82,16.42,38.48,0,17.46,-4.08,10.69,0.12,,19.602800000000002
45,,46,519056,海富通内需热,08-25,1.071,1.071,1.32,3.28,6.14,13.57,10.87,9.96,-2.19,3.58,21.57,7.1,5.5,0.15,,19.5977
12,,13,519005,海富通股票混,08-25,0.676,2.625,1.65,4.16,3.21,16.96,15.75,9.39,-7.9,7.99,17.98,190.52,7.2,0.15,,19.285199999999996
8,,9,168205,中融中证银行,08-25,0.936,0.98,2.97,4.93,1.63,11.83,11.16,16.0,45.15,0,17.0,-1.3,10.29,0.0,,19.2651
7,,8,161831,银华恒生国企,08-25,1.0197,1.0968,2.06,4.97,2.49,6.59,5.95,17.72,22.71,-3.81,15.86,10.52,11.25,0.12,,19.175500000000003
2,,3,160717,嘉实恒生中国,08-25,0.8311,0.8311,2.08,5.02,2.38,4.92,5.97,18.09,23.93,3.68,15.82,-16.89,10.67,0.15,,18.9407
21,,22,519026,海富通中小盘,08-25,0.955,0.955,2.25,3.69,4.49,14.78,8.65,7.06,-4.31,-8.79,12.09,-4.5,5.13,0.15,,18.824099999999998
10,,11,020021,国泰上证18,08-25,1.6992,1.6992,2.74,4.26,2.56,12.27,14.49,19.2,50.36,81.36,19.27,69.92,14.08,0.12,,18.7712
11,,12,160716,嘉实基本面5,08-25,1.4944,1.4944,2.13,4.26,2.19,12.47,16.64,30.61,58.57,127.04,23.16,49.44,25.3,0.12,,18.755499999999998
36,,37,001577,嘉实低价策略,08-25,1.14,1.14,2.24,3.35,4.49,13.66,7.95,20.13,21.41,0,13.55,14.0,17.02,0.15,,18.1563
23,,24,502020,国金上证50,08-25,1.415,0.9658,2.17,3.66,3.28,12.57,17.43,24.26,45.57,0,21.98,-16.13,19.31,0.1,,18.126099999999997
14,,15,000591,中银健康生活,08-25,1.485,1.485,2.34,4.06,3.56,10.49,2.27,1.16,9.35,43.48,5.1,48.5,-2.44,0.15,,17.850699999999996
9,,10,002860,前海开源沪港,08-25,1.127,1.127,1.99,4.55,2.83,5.43,6.32,0.0,0.0,0,14.18,12.7,8.2,0.15,,17.6216
19,,20,000835,华润元大富时,08-25,1.588,1.588,2.06,3.72,2.52,12.15,16.76,25.14,46.9,0,22.82,58.8,20.31,0.12,,17.323800000000002
13,,14,165521,信诚中证80,08-25,1.054,1.711,2.83,4.15,1.84,11.89,11.53,15.1,44.26,68.07,15.82,78.82,10.4,0.12,,17.2682
44,,45,001208,诺安低碳经济,08-25,0.945,0.945,1.72,3.28,4.07,10.4,14.41,19.17,30.34,0,19.47,-5.5,16.18,0.15,,17.2576
20,,21,519027,海富通上证周,08-25,1.26,1.26,2.36,3.7,2.94,11.31,12.5,15.92,36.07,65.35,16.88,26.0,11.55,0.12,,17.1727
35,,36,001552,天弘中证证券,08-25,0.8444,0.8444,2.64,3.37,3.19,12.87,11.9,10.78,38.2,0,13.66,-15.56,7.36,0.1,,16.6664
37,,38,001553,天弘中证证券,08-25,0.8396,0.8396,2.63,3.35,3.16,12.79,11.75,10.5,37.53,0,13.46,-16.04,7.08,0.0,,16.5417
33,,34,001237,博时上证50,08-25,0.9299,0.9299,2.15,3.43,2.73,11.62,15.17,23.07,43.75,0,19.72,-7.01,18.38,0.12,,16.5193
34,,35,217002,招商安泰平衡,08-25,1.0668,2.9388,2.02,3.4,4.05,9.15,6.26,-1.12,10.34,28.56,5.56,281.05,-5.42,0.15,,16.4474
40,,41,002387,工银沪港深股,08-25,1.152,1.152,1.05,3.32,3.23,12.61,15.08,16.25,0.0,0,23.87,15.2,12.36,0.15,,16.383399999999998
30,,31,161607,融通巨潮10,08-25,1.205,2.719,2.03,3.52,2.55,11.88,11.88,19.54,38.51,65.98,17.79,298.19,15.6,0.15,,16.3495
31,,32,020023,国泰事件驱动,08-25,2.457,2.457,2.2,3.45,2.76,9.98,14.92,21.94,43.6,72.42,19.68,145.7,19.56,0.15,,16.3164
25,,26,161211,国投沪深30,08-25,1.51,1.51,2.33,3.65,2.26,11.15,12.16,16.83,47.49,82.19,17.11,51.0,12.09,0.12,,16.3059
48,,49,164508,国富中证10,08-25,0.956,1.004,1.7,3.24,2.8,12.74,15.6,24.2,41.27,0,21.3,1.43,20.04,0.12,,16.250300000000003
46,,47,001548,天弘上证50,08-25,1.0431,1.0431,2.18,3.26,2.61,11.7,15.59,22.86,43.52,0,20.06,4.31,18.31,0.1,,15.9088
47,,48,001549,天弘上证50,08-25,1.0367,1.0367,2.18,3.25,2.58,11.63,15.46,22.57,42.68,0,19.88,3.67,18.02,0.0,,15.8134
43,,44,001051,华夏上证50,08-25,0.908,0.908,2.14,3.3,2.48,11.0,14.65,22.87,42.32,0,19.16,-9.2,18.44,0.12,,15.706599999999996
49,,50,399001,中海上证50,08-25,1.159,1.159,2.2,3.21,2.48,11.23,14.98,20.48,41.34,78.31,19.36,15.9,16.24,0.12,,15.4398
17,,18,001127,中银宏观策略,08-25,0.639,0.639,2.24,3.9,2.4,8.86,-1.39,-4.63,-0.31,0,0.95,-36.1,-7.61,0.15,,15.3783
22,,23,001837,前海开源沪港,08-25,1.411,1.411,1.22,3.67,1.51,10.15,14.62,28.39,0.0,0,26.55,41.1,23.02,0.15,,15.1582
