,1,sn,id,name,date,net,all-net,%,%7,%30,%90,%180,%360,%720,%3y,%y,%all,%u,fee,2,%sort
0,,1,519961,长信利广混合,08-22,1.119,1.119,-1.76,3.9,11.01,13.03,10.68,11.45,11.57,0,11.23,11.9,13.45,0.08,,27.300699999999996
1,,2,165523,信诚中证信息,08-22,0.822,0.488,-0.84,3.79,9.02,8.16,-4.75,-15.58,-28.4,0,-6.7,-47.09,-14.86,0.1,,22.2592
2,,3,001629,天弘中证计算,08-22,0.6771,0.6771,-0.89,3.67,9.3,6.21,-0.91,-13.99,-27.47,0,-2.83,-32.29,-13.21,0.1,,22.132300000000004
3,,4,001630,天弘中证计算,08-22,0.6737,0.6737,-0.9,3.66,9.28,6.13,-1.04,-14.22,-27.83,0,-3.0,-32.63,-13.45,0.0,,22.0533
22,,23,161033,富国中证智能,08-22,1.092,1.092,-0.46,2.44,7.91,13.16,13.04,5.81,0.0,0,15.8,9.2,6.3,0.12,,19.2626
31,,32,610005,信达澳银红利,08-22,1.023,1.223,-0.39,2.3,8.48,7.12,-1.25,-4.84,8.27,57.19,1.89,22.21,-4.47,0.15,,17.8751
11,,12,090018,大成新锐产业,08-22,1.692,2.192,-0.06,2.73,6.68,10.23,-1.91,0.47,22.37,77.72,-0.59,133.16,0.53,0.15,,17.671899999999997
38,,39,160620,鹏华资源分级,08-22,1.377,0.96,0.51,2.23,4.87,26.1,12.32,20.41,18.09,41.23,20.93,-2.95,19.79,0.12,,17.524299999999997
18,,19,001361,景顺中证TM,08-22,0.602,0.602,-0.33,2.56,7.12,7.5,3.79,-3.06,-14.97,0,4.15,-39.8,-2.74,0.12,,17.0575
34,,35,519002,华安安信消费,08-22,1.399,1.7,-0.57,2.27,6.47,12.42,4.58,6.28,31.84,74.65,4.13,69.42,6.89,0.15,,16.915999999999997
36,,37,001071,华安媒体互联,08-22,0.955,0.955,-1.34,2.25,7.55,9.02,-6.0,-13.57,20.43,0,-7.46,-4.5,-12.4,0.15,,16.676099999999998
5,,6,410007,华富价值增长,08-22,1.0446,1.8446,-0.9,3.09,5.56,4.53,0.78,-4.7,21.86,74.26,0.57,80.94,-3.83,0.15,,16.451799999999995
35,,36,040020,华安升级主题,08-22,1.174,1.674,-0.59,2.26,5.67,15.32,6.15,5.2,27.26,61.22,4.92,69.76,5.82,0.15,,16.386599999999998
49,,50,001287,安信优势增长,08-22,1.2872,1.2872,0.44,2.1,5.16,17.15,13.77,18.86,26.07,0,18.75,28.72,18.34,0.1,,16.1727
14,,15,160137,南方中证互联,08-22,0.7933,0.837,0.03,2.67,5.17,9.75,7.29,4.76,-10.45,0,9.54,-16.3,4.73,0.12,,15.7359
25,,26,740001,长安宏观策略,08-22,1.345,2.165,-0.59,2.36,6.32,2.91,2.59,1.05,16.85,53.4,3.07,120.13,1.65,0.15,,15.139499999999998
9,,10,320016,诺安多策略混,08-22,1.665,1.665,0.54,2.78,4.39,10.05,-0.83,2.84,6.53,50.54,0.06,66.5,2.29,0.15,,14.971300000000001
8,,9,519150,新华优选消费,08-22,1.391,2.327,-0.29,2.88,4.74,5.06,-0.14,3.28,-0.54,70.57,3.11,166.14,3.58,0.15,,14.846600000000002
33,,34,165524,信诚中证智能,08-22,0.898,0.555,-0.99,2.28,6.65,4.66,-2.18,-9.94,-21.39,0,-1.97,-42.54,-9.03,0.1,,14.792099999999998
6,,7,001395,博时新趋势混,08-03,1.0694,1.0694,-0.03,3.0,3.7,7.19,0.49,4.12,6.83,0,1.0,6.94,0.0,0.1,,14.400699999999999
42,,43,210004,金鹰稳健成长,08-22,1.406,2.136,-0.42,2.18,6.19,4.93,-10.04,3.46,23.66,111.84,-9.06,136.03,3.9,0.15,,14.3994
10,,11,000696,汇添富环保行,08-22,1.418,1.418,-0.28,2.75,5.04,1.14,-0.49,2.98,4.04,0,0.93,41.8,3.27,0.15,,14.230800000000002
12,,13,161032,富国中证煤炭,08-22,1.288,0.789,-0.85,2.71,1.18,25.78,9.52,14.04,11.86,0,17.09,-21.14,15.02,0.0,,14.125799999999996
19,,20,320012,诺安主题精选,08-22,1.649,1.749,0.61,2.55,4.63,4.97,2.68,9.64,4.83,57.71,6.46,80.89,8.98,0.15,,14.0435
21,,22,167301,方正富邦保险,08-22,1.217,1.254,2.18,2.53,1.76,17.02,21.58,29.56,44.44,0,26.38,25.66,26.79,0.08,,14.0204
4,,5,502013,长盛中证申万,08-22,0.879,0.4938,0.0,3.29,1.97,10.43,4.27,18.72,-11.9,0,10.43,-44.93,18.72,0.12,,13.9342
43,,44,040008,华安策略优选,08-22,1.4498,2.9861,1.24,2.15,2.24,18.6,25.22,28.65,46.24,123.73,36.61,44.98,27.07,0.15,,13.9002
40,,41,000063,长盛电子信息,08-22,1.717,1.717,-1.32,2.2,5.79,1.84,-2.94,-14.62,-3.16,83.05,-4.35,71.7,-13.48,0.15,,13.136800000000001
26,,27,000924,宝盈先进制造,08-22,1.042,1.042,-0.67,2.36,5.57,0.97,-9.71,-12.07,-3.25,0,-9.08,4.2,-11.48,0.15,,12.973700000000001
17,,18,004263,华安沪港深机,08-22,1.122,1.122,0.45,2.56,2.94,12.42,0.0,0.0,0.0,0,0.0,12.2,11.7,0.15,,12.888
13,,14,003492,前海开源外向,08-22,1.1121,1.1121,0.72,2.71,2.23,11.2,9.3,0.0,0.0,0,12.93,11.21,10.42,0.15,,12.6448
28,,29,519139,海富通沪港深,08-22,1.1656,1.1656,0.98,2.34,2.68,11.63,13.51,0.0,0.0,0,16.63,16.56,15.43,0.15,,12.356399999999999
32,,33,450002,国富弹性市值,08-22,1.135,3.4322,0.92,2.3,1.83,11.93,14.85,19.3,41.99,86.29,20.27,550.8,18.22,0.15,,12.128700000000002
37,,38,001583,安信新常态股,08-22,1.237,1.237,0.32,2.23,0.98,17.47,25.33,20.33,23.7,0,31.32,23.7,19.94,0.15,,12.050400000000002
20,,21,000950,易方达沪深3,08-22,0.8781,0.8781,1.33,2.55,0.9,15.4,11.34,14.38,18.94,0,15.09,-12.19,12.88,0.1,,11.818599999999998
39,,40,000656,前海开源沪深,08-22,1.196,1.446,0.42,2.22,2.93,8.43,5.65,9.02,8.6,49.65,10.74,50.84,8.57,0.12,,11.7508
45,,46,000368,汇添富沪深3,08-22,1.5163,1.5163,0.52,2.12,2.49,9.42,9.86,16.79,4.54,55.39,15.59,51.63,16.18,0.12,,11.3764
47,,48,003956,南方教育股票,08-22,0.9853,0.9853,-0.7,2.11,3.99,1.86,-1.43,0.0,0.0,0,0.0,-1.47,-0.78,0.15,,11.1052
27,,28,202021,南方小康ET,08-22,1.3492,1.3692,0.53,2.34,1.27,11.53,8.93,26.2,8.23,85.66,15.54,37.58,25.54,0.12,,11.0715
16,,17,003622,创金合信优价,08-22,1.0628,1.0628,-0.08,2.64,1.81,6.86,3.85,0.0,0.0,0,8.7,6.28,6.37,0.15,,11.026800000000001
15,,16,003623,创金合信优价,08-22,1.0601,1.0601,-0.08,2.64,1.81,6.79,3.7,0.0,0.0,0,8.47,6.01,6.09,0.0,,11.0096
