,1,sn,id,name,date,net,all-net,%,%7,%30,%90,%180,%360,%720,%3y,%y,%all,%u,fee,2,%sort
21,,22,001594,天弘中证银行,08-24,1.0905,1.0905,-0.03,2.06,-1.12,13.45,9.39,13.12,34.7,0,14.64,9.05,10.89,0.1,,7.7258
22,,23,001595,天弘中证银行,08-24,1.0841,1.0841,-0.03,2.05,-1.13,13.4,9.26,12.86,33.96,0,14.47,8.41,10.61,0.0,,7.659199999999999
23,,24,160418,华安中证银行,08-24,0.8819,0.9258,-0.06,2.02,-1.09,12.29,8.55,12.89,28.22,0,14.03,-6.88,10.69,0.12,,7.358
27,,28,160717,嘉实恒生中国,08-24,0.8142,0.8142,0.82,1.99,0.17,4.56,3.81,15.74,20.64,2.03,13.46,-18.58,10.67,0.15,,7.3384
25,,26,160631,鹏华银行分级,08-24,0.962,0.999,-0.1,2.01,-1.13,11.99,7.97,12.6,34.04,0,13.71,0.53,10.5,0.12,,7.262399999999999
28,,29,161831,银华恒生国企,08-24,0.9991,1.0762,0.0,1.98,0.15,4.43,3.81,15.4,19.53,-5.26,13.52,8.28,11.25,0.12,,7.246899999999999
24,,25,168205,中融中证银行,08-24,0.909,0.953,-0.11,2.02,-1.2,12.08,7.96,12.51,33.32,0,13.63,-4.14,10.29,0.0,,7.2122
38,,39,160814,长盛中证金融,08-24,0.81,0.81,-0.49,1.89,-0.86,12.03,8.0,9.02,26.65,0,11.72,-14.64,7.26,0.12,,7.102899999999998
29,,30,161029,富国中证银行,08-24,1.035,1.075,-0.1,1.97,-1.52,12.38,7.37,13.0,36.7,0,13.49,7.99,10.93,0.12,,6.7522
43,,44,160138,南方恒生中国,08-24,1.0425,1.0425,0.68,1.84,0.31,4.03,0.0,0.0,0.0,0,0.0,4.25,1.91,0.12,,6.316000000000002
44,,45,160139,南方恒生中国,08-24,1.0413,1.0413,0.68,1.83,0.27,3.92,0.0,0.0,0.0,0,0.0,4.13,1.8,0.0,,6.2216
32,,33,004597,南方银行ET,08-24,0.9821,0.9821,-0.04,1.92,-1.89,0.0,0.0,0.0,0.0,0,0.0,-1.79,-3.69,0.12,,3.2616
34,,35,004598,南方银行ET,08-24,0.9814,0.9814,-0.04,1.91,-1.93,0.0,0.0,0.0,0.0,0,0.0,-1.86,-3.75,0.0,,3.184799999999999
